1 180 400 1e-013 1e-009 0 0 0 0 0 1 3e+010 0 
2 400 700 1e-013 1e-011 0 0 0 1 0 2 0.00015 1 
3 700 1050 1e-013 1e-011 1 0 0 1 0 3 0.00015 1 
4 1050 1400 1e-013 1e-011 0 0 1 1 0 3 0.00015 1 
5 1400 1500 1e-013 1e-009 0 0 0 0 0 4 1e+012 0 
6 1500 1800 1e-013 1e-009 0 0 0 0 0 4 1e+013 0 
7 1800 2600 1e-013 1e-009 0 0 0 0 0 4 1e+012 0 
8 2600 1e+006 1e-013 1e-009 0 0 0 0 0 7 1e+011 0 
9 400 700 1e-011 1e-009 0 0 0 1 1 2 27000 1 
10 700 1050 1e-011 1e-009 1 0 0 1 1 3 27000 1 
11 1050 1400 1e-011 1e-009 0 1 0 1 1 3 27000 1 
12 180 302.5 1e-009 10 0 0 0 0 0 1 30 1 
13 302.5 303.5 1e-009 2.6e-009 0 0 0 0 2 1 5600 1 
14 302.5 303.5 2.6e-009 10 0 0 0 0 0 1 40 1 
15 303.5 304.5 1e-009 1.3e-008 0 0 0 0 2 1 5600 1 
16 303.5 304.5 1.3e-008 10 0 0 0 0 0 1 60 1 
17 304.5 305.5 1e-009 1e-007 0 0 0 0 2 1 5600 1 
18 304.5 305.5 1e-007 10 0 0 0 0 0 1 100 1 
19 305.5 306.5 1e-009 6.7e-007 0 0 0 0 2 1 5600 1 
20 305.5 306.5 6.7e-007 10 0 0 0 0 0 1 160 1 
21 306.5 307.5 1e-009 4e-007 0 0 0 0 2 1 5600 1 
22 306.5 307.5 4e-007 10 0 0 0 0 0 1 250 1 
23 307.5 308.5 1e-009 2.6e-005 0 0 0 0 2 1 5600 1 
24 307.5 308.5 2.6e-005 10 0 0 0 0 0 1 400 1 
25 308.5 309.5 1e-009 0.00016 0 0 0 0 2 1 5600 1 
26 308.5 309.5 0.00016 10 0 0 0 0 0 1 630 1 
27 309.5 310.5 1e-009 0.001 0 0 0 0 2 1 5600 1 
28 309.5 310.5 0.001 10 0 0 0 0 0 1 1000 1 
29 310.5 311.5 1e-009 0.0067 0 0 0 0 2 1 5600 1 
30 310.5 311.5 0.0067 10 0 0 0 0 0 1 1600 1 
31 311.5 312.5 1e-009 0.04 0 0 0 0 2 1 5600 1 
32 311.5 312.5 0.04 10 0 0 0 0 0 1 2500 1 
33 312.5 313.5 1e-009 0.26 0 0 0 0 2 1 5600 1 
34 312.5 313.5 0.26 10 0 0 0 0 0 1 4000 1 
35 313.5 314.5 1e-009 1.6 0 0 0 0 2 1 5600 1 
36 313.5 314.5 1.6 10 0 0 0 0 0 1 6300 1 
37 314.5 400 1e-009 10 0 0 0 0 2 1 5600 1 
38 400 700 1e-009 1.8e-005 0 0 0 1 0 2 0.005 1 
39 400 700 1.8e-005 10 0 0 0 1 1 2 18 1 
40 700 1050 1e-009 1.8e-005 1 0 0 1 0 3 0.005 1 
41 700 1050 1.8e-005 10 1 0 0 1 1 3 18 1 
42 1050 1400 1e-009 5e-005 0 0 1 1 0 3 0.05 1 
43 1050 1400 5e-005 10 0 0 1 1 1 3 90 1 
44 1400 1500 1e-009 0.001 0 0 0 0 0 4 1000 1 
45 1400 1500 0.001 10 0 0 0 0 2 4 5600 1 
46 1500 1800 1e-009 10 0 0 0 0 0 4 10000 1 
47 1800 2600 1e-009 0.001 0 0 0 0 0 4 1000 1 
48 1800 2600 0.001 10 0 0 0 0 2 4 5600 1 
49 2600 1e+006 1e-009 1e-007 0 0 0 0 0 7 100 1 
50 2600 1e+006 1e-007 10 0 0 0 0 2 7 5600 1 
51 180 302.5 10 30000 0 0 0 0 0 1 30 1 
52 302.5 303.5 10 30000 0 0 0 0 0 1 40 1 
53 303.5 304.5 10 30000 0 0 0 0 0 1 60 1 
54 304.5 305.5 10 30000 0 0 0 0 0 1 100 1 
55 305.5 306.5 10 30000 0 0 0 0 0 1 160 1 
56 306.5 307.5 10 30000 0 0 0 0 0 1 250 1 
57 307.5 308.5 10 30000 0 0 0 0 0 1 400 1 
58 308.5 309.5 10 30000 0 0 0 0 0 1 630 1 
59 309.5 310.5 10 30000 0 0 0 0 0 1 1000 1 
60 310.5 311.5 10 30000 0 0 0 0 0 1 1600 1 
61 311.5 312.5 10 30000 0 0 0 0 0 1 2500 1 
62 312.5 313.5 10 30000 0 0 0 0 0 1 4000 1 
63 313.5 314.5 10 30000 0 0 0 0 0 1 6300 1 
64 314.5 400 10 30000 0 0 0 0 0 1 10000 1 
65 400 600 10 100 0 1 0 0 0 5 100 1 
66 400 600 100 10000 0 1 0 0 0 5 1 0 
67 400 600 10000 30000 0 1 0 0 0 5 1 0 
68 600 700 10 30000 0 0 0 0 0 6 6 1 
69 700 1400 10 30000 0 0 0 0 0 3 1 1 
70 1400 1e+006 10 30000 0 0 0 0 0 7 1000 0 
