1 180 302.5 1e-013 1e-009 0 0 0 0 0 0 0 0 1 1.5e+011 1 
2 180 302.5 1e-009 30000 0 0 0 0 0 0 0 0 1 150 2 
3 302.5 400 1e-013 1e-009 0 0 0 0 0 0 0 0 1 120000 3 
4 302.5 315 1e-009 10 1 0 0 0 0 0 0 0 1 4e-006 4 
5 302.5 315 10 30000 0 1 0 0 0 0 0 0 1 4e-006 4 
6 315 400 1e-009 10 1 0 0 0 0 0 0 0 1 4e-006 4 
7 315 400 10 1000 0 0 0 0 0 0 0 0 1 0.04 4 
8 315 400 1000 30000 0 0 0 0 0 0 0 0 1 4e-005 3 
9 400 700 1e-013 1e-011 0 0 0 0 0 0 0 0 2 1.9e-007 4 
10 400 700 1e-011 5e-006 0 0 0 0 0 0 0 0 2 3.8e-007 4 
11 400 700 5e-006 0.35 0 0 0 0 0 0 0 1 2 0.0035 4 
12 400 700 0.35 30000 0 0 0 0 0 0 0 0 2 0.005 3 
13 700 1050 1e-013 1e-011 0 0 0 0 0 0 0 0 3 1.9e-007 4 
14 700 1050 1e-011 5e-006 0 0 0 1 0 0 0 0 3 3.8e-007 4 
15 700 1050 5e-006 10 0 0 0 1 0 0 0 1 3 0.0035 4 
16 700 1400 10 30000 0 0 0 1 0 0 1 0 3 0.002 3 
17 1050 1400 1e-013 1e-011 0 0 0 0 0 0 1 0 3 1.9e-006 4 
18 1050 1400 1e-011 1.3e-005 0 0 0 0 0 0 1 0 3 3.8e-006 4 
19 1050 1400 1.3e-005 10 0 0 0 0 0 0 1 1 3 0.018 4 
20 1400 1500 1e-013 1e-009 0 0 0 0 0 0 0 0 4 4e+006 3 
21 1400 1500 1e-009 0.001 0 0 0 0 0 0 0 0 4 0.004 4 
22 1400 1500 0.001 0.35 0 0 0 0 0 0 0 2 4 0.022 4 
23 1400 1500 0.35 10 0 0 0 0 0 0 0 3 4 0.05 4 
24 1400 4000 10 30000 0 0 0 0 0 0 0 0 4 0.05 3 
25 1500 1800 1e-013 1e-009 0 0 0 0 0 0 0 0 4 4e+007 3 
26 1500 1800 1e-009 0.35 0 0 0 0 0 0 0 0 4 0.04 4 
27 1500 1800 0.35 10 0 0 0 0 0 0 0 1 4 0.09 4 
28 1800 2600 1e-013 1e-009 0 0 0 0 0 0 0 0 4 4e+006 3 
29 1800 2600 1e-009 0.001 0 0 0 0 0 0 0 0 4 0.004 4 
30 1800 2600 0.001 0.35 0 0 0 0 0 0 0 2 4 0.022 4 
31 1800 4000 0.35 10 0 0 0 0 0 0 0 3 4 0.05 4 
32 2600 4000 1e-013 1e-009 0 0 0 0 0 0 0 0 4 40000 3 
33 2600 4000 1e-009 1e-007 0 0 0 0 0 0 0 0 4 0.0004 4 
34 2600 4000 1e-007 0.35 0 0 0 0 0 0 0 2 4 0.022 4 
35 4000 1e+006 1e-013 1e-009 0 0 0 0 0 0 0 0 4 5e+011 1 
36 4000 1e+006 1e-009 1e-007 0 0 0 0 0 0 0 0 4 500 2 
37 4000 1e+006 1e-007 10 0 0 0 0 0 0 0 2 4 28000 2 
38 4000 1e+006 10 30000 0 0 0 0 0 0 0 0 4 5000 1 
